String Identifier	String Description (Comments)	English_US	English_UK	Portuguese	Spanish	Catalan	French	Italian	Dutch	German	Czech	Polish	Russian	Ukrainian	Croatian	Greek	Turkish	Hebrew	Arabic	Persian	Simplified Chinese	Korean	Japanese
Card_OptB_3455		We do not have an infinite budget so it will be better to focus on the investment to find a vaccine	We do not have an infinite budget so it will be better to focus on the investment to find a vaccine	Não temos um orçamento infinito, então será melhor se concentrar no investimento para encontrar a vacina	No tenemos un presupuesto infinito así que mejor enfocar la inversión en la vacuna	Com a alternativa, per no retallar, podríem demanar als ciutadans que contribueixin cobrir despeses	Nous n'avons pas un budget infini, il vaudrait mieux concentrer nos fonds dans le vaccin	Non abbiamo un budget infinito: meglio focalizzare gli investimenti nella scoperta del vaccino	We hebben geen oneindig budget, dus het is beter om ons te concentreren op de investering om een ​​vaccin te vinden	Wir haben kein unbegrenztes Budget, also sollten wir uns lieber auf die Suche nach Impfstoffen konzentrieren	Nemáme bezedný rozpočet, lepší se bude soustředit na vakcínu	Nie mamy nieograniczonego budżetu, więc lepiej inwestować w znalezienie szczepionki.	Наш бюджет не бесконечный, поэтому лучше сосредоточиться на инвестициях в поиск вакцины.	Наш бюджет обмежений, тому краще зосередити інвестиції на розробленні вакцини	Nemamo beskonačan budžet tako da je bolje da se usredotočimo na ulaganje za pronalazak cjepiva	Ο προϋπολογισμός μας δεν είναι άπειρος, οπότε καλύτερα να εστιάσουμε στην έρευνα για την ανακάλυψη του εμβολίου.	Sonsuz bir bütçemiz yok, bu yüzden aşıyı bulmak için yatırımlara odaklanmak daha iyi olur	אין לנו תקציב אינסופי ולכן עדיף להתמקד במציאת החיסון	ليس لدينا ميزانية لانهائية لذلك سيكون من الأفضل التركيز على الاستثمار لإيجاد لقاح	بودجه نامحدود نداریم بنابراین بهتراست برای یافتن واکسن روی سرمایه گذاری تمرکزکنیم	我们并没有无限量的预算，因此最好将经费集中在寻找疫苗上	예산이 무한정 있지 않은 만큼 백신 개발에만 집중합시다.	予算が無制限にあるわけじゃないから、ワクチンの開発に集中しよう
CardTitle_3456		Keep promises	Keep promises	Mantenha a Promessa	Cumplir promesas	Noves estructures	Tenir ses promesses	Mantenere le promesse	Beloftes houden	Versprechen halten	Dostát závazku	Dotrzymywanie obietnic	Выполнять обещания	Виконати обіцянки	Održavanje obećanja	Υποσχέσεις	Sözünü tut	שמור על ההבטחות	الوفاء بالوعود	به وعده های خویش عمل کنید	信守承诺	공약 이행	約束
CardText_3456		We have promised to increase our investment in research, but we have not discussed amounts yet	We have promised to increase our investment in research, but we have not discussed amounts yet	Nós prometemos aumentar nosso investimento em pesquisa, mas nós não discutimos a quantidade	Hemos prometido aumentar nuestra inversión en investigación, pero no hemos hablado de cantidades todavía	Amb diners podem aconseguir totes les estructures sanitàries que volem, la pregunta és: quant estem disposats a invertir?	Nous avions promis d'augmenter notre investissement dans la recherche, mais nous n'avons pas parlé d'une somme encore	Abbiamo promesso di aumentare i nostri investimenti nella ricerca, ma non abbiamo ancora discusso delle cifre	We hebben beloofd onze investeringen in onderzoek te verhogen, maar over bedragen hebben we nog niet gesproken	Wir haben versprochen, unsere Investitionen in die Forschung zu erhöhen, aber wir haben noch nicht über die Beträge gesprochen	Slíbili jsme navýšení investice do výzkumu, neřekli jsme však o kolik ji navýšíme	Obiecaliśmy zwiększyć inwestycję w badania naukowe, ale nie rozmawialiśmy jeszcze o kwotach.	Мы обещали увеличить инвестиции в исследования, но пока не обсудили суммы.	Ми пообіцяли збільшити інвестиції в дослідження, але нам ще потрібно вирішити скільки саме інвестувати	Obećali smo da ćemo povećati ulaganja u istraživanje, ali o iznosima još nismo razgovarali	Έχουμε υποσχεθεί να αυξήσουμε την χρηματοδότησή μας στην έρευνα, αλλά δεν έχουμε συζητήσει ακόμα το πόσο.	Araştırma yatırımlarımızı artırmaya söz verdik, ancak henüz miktarlarını tartışmadık	הבטחנו להגדיל את השקעתנו במחקר, אך טרם דנו בעלויות	لقد وعدنا بزيادة استثمارنا في البحث ، لكننا لم نناقش المبالغ بعد	ما قول داده ایم که سرمایه گذاری خود را درتحقیقات افزایش دهیم، اما هنوز درباره مبلغ آن بحث نکرده ایم	我们已承诺增加对科研的投入，但还没讨论金额	연구에 더 투자하겠다고 공약을 내걸었는데, 아직 정확한 액수는 논의하지 않았습니다.	リサーチの投資額を増やしてくれると約束したけど、まだ金額については話してないですね
Card_OptA_3456		Go ahead! Spare no expenses	Go ahead! Spare no expenses	Vá em frente! Não poupe despesas	Adelante, sin reparar en gastos	Amb moderació, és arriscat invertir molt de cop	Allez-y, ne ménagez pas les dépenses !	Andiamo avanti! Non badiamo a spese	Doe Maar! Bespaar geen kosten	Legen wir los! Scheuen wir keine Kosten	Do toho! Nebudeme škudlit	Macie zielone światło! Nie szczędźcie wydatków.	Вперёд! Не жалейте расходов!	Інвестуймо без обмежень	Samo naprijed! Nemojmo štedjeti	Όσα έχουμε!	Devam edelim! Hiçbir masraftan kaçınmayalım	לך על זה! אין לחסוך בהוצאות	هيا بنا! لن ندخر أي نفقات	حرکت رو به جلوبدون هیچ هزینه ای	大胆向前走！不惜代价	이왕 할 거, 화끈하게 쏟아 부읍시다.	さあ話そう！いくらでもお金をかけよう
Card_OptB_3456		Let's invest the minimum to keep our promise	Let's invest the minimum to keep our promise	Vamos investir o mínimo para manter a nossa promessa	Invirtamos lo mínimo para cumplir con nuestra promesa	Sempre surt més a compte fer inversions grans, així que endavant sense por	Investissons le minimum pour tenir notre promesse	Investiamo il minimo necessario per poter dire di aver mantenuto le promesse	Laten we het minimum investeren om onze belofte na te komen	Lass uns das Minimum investieren, um unser Versprechen zu halten	Investujme jen tolik, abychom dostáli našemu závazku	Zainwestujmy minimum, aby dotrzymać obietnicy.	Давайте вложим минимум, чтобы сдержать обещание.	Давайте вкладемо мінімальну кількість, достатню для виконання нашої обіцянки	Uložimo minimum da održimo obećanje	Ας επενδύσουμε το λιγότερο δυνατό, απλά για να κρατήσουμε την υπόσχεσή μας.	Sözümüzü tutmak için en az seviyede yatırım yapalım	בואו נשקיע את המינימום כדי לעמוד בהבטחתנו	دعونا نستثمر الحد الأدنى للوفاء بوعدنا	بیایید حداقل سرمایه گذاری را برای حفظ وعده خود انجام دهیم	让我们投入最少的钱来履行我们的诺言	딱 생색낼 만큼 최소한만 투자합시다.	約束を守るためだから最小額を投資しよう
CardTitle_3457		General trial	General trial	Teste Geral	Ensayo general	Atenció a domilici	Essai général	Sperimentazione su larga scala	Algemene proef	Allgemeiner Prozess	Obecné testování	Badanie ogólne	Общее тестирование	Загальне випробування	Opće testiranje	Γενική δοκιμή	Genel çalışma	משפט ציבורי	تجربة عامة	آزمایش عمومی	全民测试	대규모 임상 시험	試作ワクチン
CardText_3457		We are ready to launch a big general trial among the population to confirm the advances with the vaccine	We are ready to launch a big general trial among the population to confirm the advances with the vaccine	Nós estamos prontos para lançar um teste geral com a população, para confirmar o progresso na vacina.	Estamos listos para lanzar en gran ensayo general sobre la población para confirmar los avances de la vacuna	Estem llestos per llançar el servei d'atenció sanitària a domicili per encara no hem trobat cobertura financera	Nous sommes prêts pour lancer un grand essai général sur la population pour confirmer les progrès de la vaccin	Siamo pronti a lanciare una grande sperimentazione sulla popolazione per confermare i progressi verso il vaccino	We zijn klaar om een ​​grote proef onder de bevolking te starten om de vooruitgang met het vaccin te bevestigen	Wir sind bereit, eine große allgemeine Studie in der Bevölkerung durchzuführen, um die Fortschritte mit dem Impfstoff zu belegen	Jsme připraveni spustit obecné testování populace, abychom se ujistili o postupu vakcíny	Jesteśmy gotowi na duże ogólne badanie ludności, aby potwierdzić postęp przy szczepionce.	Мы готовы начать большое тестирование среди населения, чтобы подтвердить достижения в области вакцины.	Ми готові розпочати велике загальне випробування серед населення, щоб підтвердити прогрес у виробленні вакцини	Spremni smo pokrenuti veliko opće testiranje stanovništva kako bismo potvrdili napredak s cjepivom	Είμαστε έτοιμοι να λανσάρουμε μια μεγάλη γενική δοκιμή στον πληθυσμό για να επιβεβαιώσουμε τα πλεονεκτήματα του νέου εμβολίου.	Aşıdaki ilerlemeleri doğrulamak amacıyla halk için büyük bir genel çalışma başlatmaya hazırız	אנחנו מוכנים ליישם משפט ציבורי גדול באוכלוסייה שלנו כדי לאשר את ההתקדמות עם החיסון	نحن على استعداد لبدء تجربة عامة كبيرة للسكان لتأكيد تقدم اللقاح	ما برای تأیید پیشرفت های واکسن آماده یک آزمایش عمومی روی جمعیت بزرگ هستیم	我们准备进行全民测试，来确认疫苗的进展	백신의 효과를 검증하기 위해 시민 다수를 대상으로 대규모 임상 시험을 실시하려 합니다.	ワクチンの開発過程を確認するため、住民への試作投与の準備ができました！
Card_OptA_3457		Let's launch the trial with the biggest number of people possible	Let's launch the trial with the biggest number of people possible	Vamos lançar o teste com o maior numero de pessoas possível	Lancemos el ensayo con el mayor número de personas posible	Ho sento pels ciutadans, però haurà de ser un servei de pagament	Lançons l'essai avec le plus grand nombre de personnes possible	Facciamo partire la sperimentazione coinvolgendo il maggior numero di persone possibile	Laten we de proef starten met een zo groot mogelijk aantal mensen	Lass uns den Versuch mit der größtmöglichen Personenzahl beginnen	Spusťme testy s co nejvyšším počtem lidí	Rozpocznijmy badanie z największą liczbą ludzi.	Давайте начнем тестирование на самое большое количество людей.	Давайте розпочнемо випробування з якомога більшою кількістю людей	Pokrenimo testiranje s najvećim mogućim brojem ljudi	Ας λανσάρουμε τη δοκιμή με τον μεγαλύτερο δυνατό αριθμό ατόμων.	Denemeyi mümkün olan en fazla sayıda kişiyle başlatalım	בוא נתחיל את המשפט עם המספר הגדול ביותר של אנשים אפשריים	لنبدأ التجربة مع أكبر عدد ممكن من الأشخاص	بیایید آزمایش را با بیشترین تعداد ممکن مردم آغاز کنیم	让我们启动一项最多人数参与的实验	최대한 많은 사람을 대상으로 백신을 시험합시다.	試作をなるべく多くの人に投与しよう
Card_OptB_3457		We cannot take on the impact on popularity that obliging the citizens to participate on the trial would carry	We cannot take on the impact on popularity that obliging the citizens to participate on the trial would carry	Não podemos assumir o impacto na popularidade de obrigar cidadãos a participar de um teste	No podemos asumir el coste en popularidad de obligar a los ciudadanos a participar en el ensayo	Uan farmacèutica ha ofert patrocinar el servei a canvi de l'últim descobriment dels nostres laboratoris	Obliger les citoyens à participer à l'essai va nuire à notre popularité, et nous ne pouvons pas l'assumer	Obbligare i cittadini alla sperimentazione ha un costo, in termini di popolarità, che adesso non possiamo sostenere	We kunnen niet schaten welke invloed op de populariteit zou hebben het verplichten de burgers om deel te nemen aan de proef	Wir können nicht einschätzen, wie sich eine Verpflichtung der Bürger, zur Teilnahme an dem Versuch, auf die Beliebtheit auswirken würde	Nemůžeme si dovolit ztratit na popularitě tím, že budeme nutit občany, aby se zúčastnili testů	Nie jesteśmy w stanie przewidzieć popularności badania, które obliguje obywateli do uczestnictwa.	Мы не можем предположить, как повлияет на нашу популярность заставить граждан участвовать в тестирование	Ми не можемо допустити втрати нашої популярності, змушуючи громадян брати участь у цьому випробуванні	Ne možemo pretpostaviti kakav će utjecaj na popularnost imati obveza građana na sudjelovanje u testiranju	Δεν μπορούμε να είμαστε σίγουροι για το αντίκτυπο που θα έχει στην δημοτικότητα μας το να αναγκάσουμε τους πολίτες να συμμετάσχουν στη δοκιμή.	Vatandaşların çalışmaya katılmalarını zorunlu yapmanın, popülerliğimiz üzerindeki etkisini göze alamayız	איננו יכולים להניח כיצד זה ישפיע על אזרחינו	لا يمكننا أن نفترض التأثير على الشعبية الناتج عن إجبار المواطنين على المشاركة في التجربة	ما نمی توانیم تأثیرمحبوبیتی را که الزامأ شهروندان را به شرکت درآزمایش به عهده می گیرد، فرض کنیم	如果我们强制公民们参与测试，这对人气所造成的后果将无法预测	시민을 강제로 시험에 참여하게 하면 우리 지지율이 폭락할 겁니다.	住民に試作を義務付けることで、今の政治の支持率に与える影響は予測できない
CardTitle_3458		Two paths	Two paths	Dois caminhos	Dos caminos	La factura al poble	Deux chemins	Davanti a un bivio	Twee paden	Zwei Wege	Dvě cesty	Dwie ścieżki	Два пути	Два шляхи	Dvije opcije	Δύο μονοπάτια	İki yol	שתי דרכים	مسارين	دو مسیر	两条路	두 갈래 길	2つの選択肢
CardText_3458		We have two different research paths to follow, and both require investment...	We have two different research paths to follow, and both require investment...	Nós temos 2 caminhos diferentes na pesquisa para seguir, ambos requerem mais investimento...	Tenemos dos caminos diferentes que podemos seguir en la investigación, ambos requieren inversión...	Si volem més capacitat hospitalària sense invertir més, haurem de ser els ciutadans els que cobreixin el gast	Il y a deux chemins différents que nous pouvons emprunter pour la recherche, et les deux ont besoin de fonds...	Abbiamo due possibili strade per la ricerca, ed entrambe richiedono investimenti...	We hebben twee verschillende onderzoekspaden te volgen en beide vereisen investeringen ...	Wir müssen zwei verschiedene Forschungspfade verfolgen und beide erfordern Investitionen …	Existují dva způsoby, jak pokračovat ve výzkumu a oba si žádají investici...	Możemy obrać dwie ścieżki badań i obie wymagają inwestowania.	У нас есть два направления в исследованиях, и оба требуют инвестиций...	У нас є два різні шляхи, якими ми можемо йти в цьому дослідженні, і обидва вимагають інвестицій...	Imamo dvije opcije, a obje uključuju ulaganje...	Έχουμε δύο διαφορετικά μονοπάτια να ακολουθήσουμε στην έρευνα , και για τα δύο χρειάζεται επένδυση...	Araştırma için izleyebileceğimiz iki yol var ve ikisi de yatırım gerektiriyor...	יש לנו שני מסלולי מחקר שונים, ושניהם דורשים השקעה ...	لدينا مسارين مختلفين للبحث للمتابعة ، وكلاهما يتطلب الاستثمار ...	ما دو مسیرتحقیقاتی مختلف برای پیگیری داریم وهردونیاز به سرمایه گذاری دارند ...	我们有两条不同的研究途径，都需要投资......	백신 연구가 갈림길에 놓였습니다. 어느 쪽이든 비용은 들겠지만...	異なる2つの研究方法があり、どちらもかなりの予算が必要です…
Card_OptA_3458		... but if we take shortcuts to reach the vaccine as soon as possible we cannot guarantee avoiding infections...	... but if we take shortcuts to reach the vaccine as soon as possible we cannot guarantee avoiding infections...	... mas se pegarmos atalhos para conseguir a vacina rápido, não podemos garantir evitaremos mais infecções	... pero si tomamos atajos para llegar a vacuna cuanto antes no podemos garantizar de evitar contagios...	D'acord, però sense exagerar ja que té un cost a nivell de popularitat	...si nous prenons des raccourcis pour trouver vite un vaccin, nous ne pourrons pas garantir une contamination zéro...	...se usiamo una scorciatoia per trovare il vaccino prima possibile, non possiamo garantire di evitare le infezioni...	... maar als we snelkoppelingen nemen om het vaccin zo snel mogelijk te bereiken, kunnen we niet garanderen dat infecties worden voorkomen ...	… aber wenn wir Abkürzungen nehmen, um den Impfstoff so schnell wie möglich zu erhalten, können wir die Vermeidung von Infektionen nicht garantieren …	...ale pokud se rozhodneme jít zkratkou a dosáhnout vakcíny co nejdříve, nemůžeme garantovat, že nedojde k šíření nákazy...	Jeśli wybierzemy ścieżkę do szczepionki na skróty, nie ma gwarancji, że unikniemy zakażeń,	...но если мы пойдем по короткому пути, чтобы как можно быстрее найти вакцину, мы не сможем гарантировать, что народ не заразится...	... але якщо ми скористаємося найкоротшим шляхом до вакцини, ми не зможемо гарантувати уникнення заражень...	... no ako idemo bržim putem da što prije dobijemo cjepivo, ne možemo jamčiti da ćemo izbjeći zarazu	...αλλά αν κόψουμε δρόμο για να φτάσουμε στο εμβόλιο όσο πιο γρήγορα γίνεται δεν μπορούμε να διαβεβαιώσουμε την αποφυγή μολύνσεων.	...aşıya en kısa sürede ulaşmak için kestirme yolları kullanabiliriz, fakat enfeksiyonlardan kaçınmayı garanti edemeyiz...	... אבל אם ניקח קיצורי דרך כדי להגיע לחיסון בהקדם האפשרי, איננו יכולים להבטיח הימנעות מזיהומים ...	... ولكن إذا اختصرنا البحث للوصول إلى اللقاح في طريقة أسرع ، لا يمكننا ضمان تجنب العدوى ...	... اما اگرما برای رسیدن به واکسن دراسرع وقت میانبرهایی را انتخاب کنیم، جلوگیری کردن ازعفونت را تضمین کرده نمی توانیم...	......但是如果我们走捷径尽早获得疫苗，我们将无法保证避免感染...	...백신 개발을 가능한 빨리 마치려 지름길을 택하면 실험 중에 감염되는 사람이 나올 수 있고...	…だけどワクチンを作るために近道をとれば、感染拡大を避けられる保証はない
Card_OptB_3458		...whilst if we take all the security measures the vaccine will take longer	...whilst if we take all the security measures the vaccine will take longer	...enquanto que se tomarmos todas as medidas de segurança a vacina vai demorar mais	... mientras si tomamos todas las medidas de seguridad la vacuna avanzará más despacio	Endavant! De l'opinió pública ens preocuparem en un altre moment	...alors que si nous prenons toutes les mesures de précaution, le vaccin avancera plus lentement	...mentre se prendiamo tutte le misure di sicurezza, ci vorrà più tempo per il vaccino	... terwijl als we alle veiligheidsmaatregelen nemen, het vaccin langer duurt	… andererseits wird der Impfstoff länger brauchen, wenn wir alle Sicherheitsmaßnahmen ergreifen	...zatímco pokud budeme dodržovat všechna opatření, vakcína se o něco zpozdí	ale jeśli podejmiemy środki ochronne, prace nad szczepionką potrwają dłużej.	...а если мы примем все меры безопасности, вакцина займет больше времени...	... а вживаючи всіх заходів безпеки, вакцина прогресуватиме повільніше	... no ako poduzmemo sve sigurnosne mjere duže ćemo čekati na cjepivo	...ενώ αν πάρουμε όλα τα μέτρα ασφαλείας το εμβόλιο θα πάρει περισσότερο χρόνο.	...tüm güvenlik önlemlerini alırsak aşıya ulaşmak daha uzun sürer	... אבל אם ננקוט בכל אמצעי האבטחה, יידרש זמן רב יותר למציאת החיסון	... بينما إذا اتخذنا جميع الإجراءات الأمنية ، سيلزمنا وقتاً أطول لتطوير اللقاح	... اگر تمام اقدامات ایمنی را انجام دهیم، واکسن طولانی ترخواهد شد	......如果我们采取所有的安全措施，疫苗开发将需要更长的时间	...반대로 안전 조치를 모두 신경쓰면 백신 개발이 늦어질 겁니다.	…一方で、安全第一に対策をとればワクチンの開発に時間がかかる
CardTitle_3459		When the time comes	When the time comes	Quando chegar a hora	Cuando llegue el momento	Hospital de nova generació	Quand le moment arrivera	Quando arriva il momento	Als het zover is	Wenn der Zeitpunkt gekommen ist	Až přijde čas	Gdy nadejdzie pora	Когда придет время	Коли настане момент	Sve u svoje vrijeme	Όταν έρθει η ώρα	Zamanı geldiğinde	כשמגיע הזמן	عندما يحين الوقت	درزمان مناسب	当时机成熟时	적절한 시기	時期が来れば
CardText_3459		At some point it will be best to reserve a big hospital to test the vaccine	At some point it will be best to reserve a big hospital to test the vaccine	Em algum momento será ótimo reservar um grande hospital para testar a vacina.	En algún momento sería óptimo reservar un gran hospital para la experimentación de la vacuna	Segueixen habent contagis entre el personal sanitari, malgrat haver pres totes les mesures possible	A un moment donné, réserver un grand hôpital sera le meilleur moyen pour tester le vaccin	A un certo punto sarà necessario riservare un grande ospedale per i test sul vaccino	Op een gegeven moment is het optimaal om een ​​groot ziekenhuis te reserveren om het vaccin te testen	Irgendwann kommt der richtige Moment, ein großes Krankenhaus zu reservieren, um den Impfstoff zu testen	V jednu chvíli bude určitě optimální zabrat pro testování vakcíny velkou nemocnici	W pewnym momencie, optymalnym będzie zarezerwowanie dużego szpitala do przetestowania szczepionki.	В какой-то момент мы должны будем иметь одну большую больницу для тестирования вакцины.	У якийсь момент було б добре зарезервувати велику лікарню для випробування вакцини	U nekom ćemo trenutku morati rezervirati veliku bolnicu za testiranje cjepiva	Κάποια στιγμή θα είναι ιδανικό να κρατήσουμε ένα νοσοκομείο για να κάνουμε δοκιμές του εμβολίου.	Aşıyı test etmek için belli bir noktada büyük bir hastaneyi ayırmak uygun olacaktır	בשלב מסוים יהיה רעיון נהדר לשמור לנו בית חולים גדול לבדיקת החיסון	في مرحلة ما ، سيكون من الأفضل حجز مستشفى كبير لاختبار اللقاح	در بعضی مواقع رزرو یک بیمارستان بزرگ برای آزمایش واکسن خوب خواهد بود	在一定时间点上，我们最好保留一间大医院来测试疫苗	언젠가 큰 병원을 통째로 빌려서 백신을 시험해 보는 게 좋을 겁니다.	ある時点でワクチンをテストするために、大きな病院を1つ確保しておいた方がベストです
Card_OptA_3459		Now it's the time, we have enough hospital capacity to spare	Now it's the time, we have enough hospital capacity to spare	Agora é a hora, nós temos capacidade hospitalar suficiente para dispensar	Ahora es el momento ya que vamos sobrados de capacidad hospitalaria	Sols ens falta construir un hospital de nova generació, dissenyat específicament per minimitzar contagis	Il faut le faire maintenant, nous avons un bon indice de capacité hospitalière	Il momento è arrivato: abbiamo abbastanza posti letto da dedicare ai test	Nu is het tijd, we hebben genoeg ziekenhuiscapaciteit over	Jetzt ist es an der Zeit, dass wir genügend Krankenhauskapazität zur Verfügung haben	Teď můžeme do určité míry kapacitu postrádat	Teraz jest na to pora, mamy wystarczającą ilość wolnych miejsc w szpitalu.	Сейчас самый оптимальный момент, вместимость больницы позволяет нам этого.	Зараз слушний час, адже тепер в нас все добре з ліжковою місткістю лікарень	Sada je vrijeme, imamo dovoljno bolničkih kapaciteta	Τώρα είναι η ώρα, έχουμε αρκετή χωρητικότητα.	Şimdi tam zamanı, yeterli hastane kapasitemiz var	עכשיו זה הזמן, יש לנו מספיק קיבולת בית חולים בשביל לחסוך	حان الوقت ، لدينا ما يكفي من قدرة الإستيعاب في المستشفيات للرعاية	اکنون زمان آن رسیده است، ما ظرفیت کافی بیمارستان را برای صرفه جویی دراختیارداریم	现在是时候了，我们有足够的医院容量来备用	지금 합시다. 환자는 다른 병원에 충분히 수용할 수 있어요.	病床は十分にあるから今がその時だ！
Card_OptB_3459		It's better to wait, right now we cannot manage without a big hospital	It's better to wait, right now we cannot manage without a big hospital	É melhor esperar, agora não conseguiremos sem um grande hospital.	Mejor esperar, ahora mismo no podemos prescindir de un gran hospital	Desafortunadament no ens ho podem permetre en aquest moment	Il vaut mieux attendre, maintenant nous ne pouvons pas nous passer d'un grand hôpital	Meglio aspettare: in questo momento un grande ospedale ci è necessario per affrontare l'emergenza	Het is beter om te wachten, op dit moment kunnen we niet zonder een groot ziekenhuis	Es ist besser, zu warten, im Moment können wir auf ein großes Krankenhaus nicht verzichten	Lepší bude počkat, bez velké nemocnice se teď neobejdeme	Lepiej poczekać, nie poradzimy sobie bez dużego szpitala.	Лучше подождать, сейчас мы не можем обойтись без большой больницы. 	Краще зачекати, зараз ми не можемо обійтися без великої лікарні	Bolje je da čekamo, trenutno ne možemo bez velike bolnice	Καλύτερα να περιμένουμε, δεν γίνεται να συνεχίσουμε χωρίς ένα μεγάλο νοσοκομείο.	Beklesek daha iyi olur, şu anda büyük bir hastane olmadan yapamayız	עדיף לחכות, כרגע אנחנו לא יכולים להסתדר בלי בית חולים גדול	من الأفضل الانتظار ، الآن لا يمكننا الاستغناء عن مستشفى كبير	بهتراست صبرکنیم، درحال حاضربدون یک بیمارستان بزرگ نمی توانیم کاری انجام دهیم	最好等等，现在我们不能动用大医院	나중에 합시다. 지금 큰 병원을 닫으면 문제가 많을 거예요.	大きな病院は今必要不可欠だから、もう少し待った方がいい
CardTitle_3460		Investment and risks	Investment and risks	Investimentos e riscos	Inversión y riesgos	Més llits	Investissements et risques	Investimenti e rischi	Investeringen en risicos	Investitionen und Risiko	Investice a riziko	Inwestycja i ryzyko	Инвестиции и риски	Інвестиція та її ризики	Ulaganja i rizici	Επένδυση και ρίσκα	Yatırım ve riskleri	השקעות וסיכונים	الاستثمار والمخاطر	سرمایه گذاری وخطرات	投资与风险	손실 또는 위험	投資とリスク
CardText_3460		The research will depend on the money we can invest right now	The research will depend on the money we can invest right now	A pesquisa vai depender do dinheiro que podemos investir no momento	La labor de investigación que haremos dependerá del dinero que podamos invertir ahora mismo	Necessitarem més llits per fer front a possibles rebrots	Le niveau de recherche dépendra de la somme que nous pouvons investir aujourd'hui	La ricerca dipenderà dal denaro che possiamo investire in questo momento	Het onderzoek hangt af van het geld dat we nu kunnen investeren	Die Forschung wird von dem Geld abhängen, das wir jetzt investieren können	Kolik toho zjistíme ve výzkumu záleží i na tom, kolik peněz do něj hodláme investovat	Badania naukowe są uzależnione od zainwestowanych teraz pieniędzy.	Исследования будут зависеть от денег, которые мы можем вложить прямо сейчас.	Дослідницька робота, яку ми проведемо, залежатиме від кількості грошей, яку ми можемо інвестувати зараз	Istraživanje će ovisiti o novcu koji trenutno možemo uložiti	Η έρευνα θα βασιστεί στα χρήματα που μπορούμε να επενδύσουμε αυτή τη στιγμή.	Araştırma şu anda yatırım yapabileceğimiz paraya bağlı	המחקר יהיה תלוי בכמה כסף נוכל להשקיע ברגע זה	سيعتمد البحث على الأموال التي يمكننا إستثمارها الآن	این تحقیق به پولی بستگی دارد که حالا می توانیم سرمایه گذاری کنیم	这项研究将取决于我们现在可以动用的资金	지금 얼마냐 투자하느냐에 따라 연구의 미래가 결정될 겁니다.	研究結果は今投資するお金次第です
Card_OptA_3460		It will be the biggest investment in history and we hope it will bring results beyond the vaccine	It will be the biggest investment in history and we hope it will bring results beyond the vaccine	Será o maior investimento da história e esperamos que traga resultados melhores do que a vacina.	Será la inversión más grande de la historia y esperemos que traiga resultados más allá de la vacuna	Haurem de construir un nou pavelló malgrat resulti costós	Ce sera le plus grand investissement de l'histoire et nous espérons que cela apportera des résultats au-delà du vaccin	Sarà il più grande investimento della nostra storia. Speriamo porti nuovi risultati, ma soprattutto il vaccino	Het zal de grootste investering in de geschiedenis zijn en we hopen dat het meer resultaten zal opleveren dan het vaccin	Es wird die größte Investition in der Geschichte sein und wir hoffen, dass sie Ergebnisse bringen wird, die sogar noch weiter gehen als der Impfstoff	Uděláme největší investici historie a budeme doufat, že přinese patřičné výsledky	To będzie największa inwestycja w dziejach i mamy nadzieję, że przyniesie dodatkowe wyniki niż tylko szczepionkę.	Это будет самая крупная инвестиция в истории, и мы надеемся, что она принесет результаты и не только вакцину.	Вона стане найбільшою інвестицією в нашій історії, і, сподіваємось, що принесе нам не тільки вакцину, але й інші результати	Bit će to najveće ulaganje u povijesti i nadamo se da će donijeti značajne rezultate i osim pronalaska cjepiva	Θα είναι η μεγαλύτερη επένδυση στην ιστορία, και ελπίζουμε οτι θα έχει τα καλύτερα δυνατά αποτελέσματα.	Tarihteki en büyük yatırım olacak ve umarım aşıdan daha fazla sonuç getirir	זו תהיה ההשקעה הגדולה ביותר בהיסטוריה ואנחנו מקווים שהיא תביא תוצאות רחוקות ומעלה מאשר החיסון	سيكون هذا أكبر إستثمار في التاريخ ونأمل أن يحقق نتائج أكبر من اللقاح	این بزرگترین سرمایه گذاری در طول تاریخ خواهد بود وامیدواریم که نتایج بیشتری از واکسن را به ارمغان بیاورد	这将是历史上最大的投资，我们希望它将带来超乎发现疫苗的成果	유래가 없을 정도로 큰 금액을 투자합시다. 연구가 백신 이상의 성과를 내길 바라야죠.	これは史上最大の投資でワクチン以上の結果をもたらしてくれることを期待している
